"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";"VENDOR";
"26";"0.1uF";"C-EUC0603";"C0603";"C16, C17, C18, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C37, C38, C39, C40, C41, C42, C43, C44, C45";"CAPACITOR, European symbol";"";"";"";"MC0603B104K160CT";"";"06R4923";"";"";"";"";
"1";"0603PS-103KLB";"0603PS";"0603";"L1";"";"";"";"";"";"";"unknown";"";"";"";"";
"4";"0R";"R-EU_R0603";"R0603";"R14, R15, R18, R19";"RESISTOR, European symbol";"";"";"";"MCMR06X000 PTL";"";"86T3500";"";"";"";"";
"14";"100";"R-EU_R0603";"R0603";"R21, R22, R23, R24, R33, R34, R37, R40, R53, R54, R55, R56, R65, R66";"RESISTOR, European symbol";"";"";"";"MCMR06X1000FTL";"";"86T3504";"";"";"";"";
"2";"1000pF";"C-EUC0603";"C0603";"C48, C49";"CAPACITOR, European symbol";"";"";"";"MC0603B102K500CT";"";"06R4910";"";"";"";"";
"10";"100nF";"C-EUC0603";"C0603";"C2, C3, C6, C7, C8, C10, C11, C12, C13, C14";"CAPACITOR, European symbol";"";"";"";"MC0603B104K250CT";"";"06R4925";"";"";"";"";
"2";"10K";"R-EU_R0603";"R0603";"R72, R74";"RESISTOR, European symbol";"";"";"";"MCMR06X1002FTL";"2073391";"86T3506";"";"";"";"";
"7";"10K";"R-EU_R0603";"R0603";"R11, R16, R17, R49, R50, R51, R52";"RESISTOR, European symbol";"";"";"";"MCMR06X1002FTL";"";"86T3506";"";"";"";"";
"3";"10uF";"CPOL-EUCT3216";"CT3216";"C4, C9, C15";"POLARIZED CAPACITOR, European symbol";"";"";"";"F931A106MAA";"";"58R3260";"";"";"";"";
"1";"10uH";"WE-PD2_5848/5820";"WE-PD2_5848/5820";"L3";"SMD Power Inductor";"";"";"";"74477410";"";"08P2817";"";"";"";"";
"1";"1241050-5";"1241050-5";"2.54/2X5";"J20";"";"";"";"";"1241050-5";"";"98K5467";"";"";"";"";
"1";"15uH";"WE-PD2_5848/5820";"WE-PD2_5848/5820";"L2";"SMD Power Inductor";"";"";"";"744774115";"";"08P2818";"";"";"";"";
"1";"1812L110/24DR";"1812L110/24DR";"LITTLEFUSE_SMD";"F1";"";"";"";"";"3557";"";"22M2711";"";"";"";"";
"2";"18pF";"C-EUC0603";"C0603";"C19, C24";"CAPACITOR, European symbol";"";"";"";"MC0603N180K500CT";"";"06R5140";"";"";"";"";
"11";"1K";"R-EU_R0603";"R0603";"R41, R42, R46, R47, R48, R59, R60, R61, R62, R63, R64";"RESISTOR, European symbol";"";"";"";"MCMR06X1001FTL";"";"86T3505";"";"";"";"";
"2";"1K5";"R-EU_R0603";"R0603";"R75, R76";"RESISTOR, European symbol";"";"";"";"MCMR06X1501FTL";"2073391";"86T3542";"";"";"";"";
"8";"1K5";"R-EU_R0603";"R0603";"R20, R35, R36, R38, R39, R77, R80, R81";"RESISTOR, European symbol";"";"";"";"MCMR06X1501FTL";"";"86T3542";"";"";"";"";
"4";"2.2uF";"C-EUC0603";"C0603";"C46, C47, C50, C51";"CAPACITOR, European symbol";"";"";"";"GRT188R61H225KE13D";"";"01AC8938";"";"";"";"";
"3";"22-05-7028-02";"22-05-7028-02";"7395-02";"J1, J12, J13";"CONNECTOR";"";"";"";"22-05-7028";"9731601";"25M1728";"";"";"";"";
"4";"22-05-7038-03";"22-05-7038-03";"7395-03";"J4, J5, J6, J7";"CONNECTOR";"";"";"";"22-05-7038";"9731610 ";"26M6362";"";"";"";"";
"2";"22-05-7048-04";"22-05-7048-04";"7395-04";"J9, J10";"CONNECTOR";"";"";"";"22-05-7048";"unknown";"26M6363";"";"";"";"";
"2";"22-05-7058-05";"22-05-7058-05";"7395-05";"J8, J11";"CONNECTOR";"";"";"MOLEX";"22-05-7058";"unknown";"55H9619";"";"";"";"";
"1";"22-27-2061-06";"22-27-2061-06";"6410-06";"J18";"CONNECTOR";"";"";"MOLEX";"22-27-2061";"unknown";"56H0719";"";"";"";"";
"2";"220";"R-EU_R0603";"R0603";"R1, R2";"RESISTOR, European symbol";"";"";"";"MCMR06X2200FTL";"";"86T3577";"";"";"";"";
"2";"22uF";"C-EUC0805";"C0805";"C52, C53";"CAPACITOR, European symbol";"";"";"";"MC0805X226M6R3CT";"";"33R0743";"";"";"";"";
"1";"2K2";"R-EU_R0603";"R0603";"R10";"RESISTOR, European symbol";"";"";"";"MCMR06X2201FTL";"";"86T3578";"";"";"";"";
"3";"2K7";"R-EU_R0603";"R0603";"R43, R44, R45";"RESISTOR, European symbol";"";"";"";"MCMR06X2701FTL";"";"86T3598";"";"";"";"";
"1";"3000";"3000";"3000";"X4";"";"";"";"KEYSTONE ELECTR";"3000";"";"66F5622";"";"";"";"";
"3";"31K6";"R-EU_R0603";"R0603";"R67, R68, R73";"RESISTOR, European symbol";"";"";"";"MC0603SAF3162T5E";"2073391";"79M5962";"";"";"";"";
"2";"33";"R-EU_R0603";"R0603";"R78, R79";"RESISTOR, European symbol";"";"";"";"MCMR06X33R0FTL";"";"86T3614";"";"";"";"";
"2";"374K";"R-EU_R0603";"R0603";"R27, R30";"RESISTOR, European symbol";"";"";"";"CRCW0603374KFKEA.";"";"27W4235";"";"";"";"";
"2";"4.7uF";"C-EUC0603";"C0603";"C35, C36";"CAPACITOR, European symbol";"";"";"";"MC0603X475K100CT";"";"06X6198";"";"";"";"";
"1";"4.7uF";"CPOL-EUCT3216";"CT3216";"C1";"POLARIZED CAPACITOR, European symbol";"";"";"";"F931A475MAA";"";"58R3271";"";"";"";"";
"1";"4700pF";"C-EUC0603";"C0603";"C5";"CAPACITOR, European symbol";"";"";"";"MC0603B472K500CT";"";"33R0458";"";"";"";"";
"4";"49.9";"R-EU_R0603";"R0603";"R3, R4, R5, R6";"RESISTOR, European symbol";"";"";"";"MCMR06X49R9FTL";"";"86T3659";"";"";"";"";
"11";"4K7";"R-EU_R0603";"R0603";"R9, R12, R13, R28, R29, R31, R32, R57, R58, R69, R70";"RESISTOR, European symbol";"";"";"";"MCMR06X4701FTL";"";"86T3649";"";"";"";"";
"1";"52K3";"R-EU_R0603";"R0603";"R71";"RESISTOR, European symbol";"";"";"";"MC0063W0603152K3";"2073391";"26M0962";"";"";"";"";
"1";"5504F1-09S-02A-03";"5504F1-09S-02A-03";"5504F1-09S-02A";"J3";"D-Sub 9pts, Righ-angle, solder";"";"";"";"5504F1-09S-02A-03";"";"18T0703";"";"";"";"";
"4";"60.4";"R-EU_R0603";"R0603";"R7, R8, R25, R26";"RESISTOR, European symbol";"";"";"";"MCMR06X60R4FTL";"";"86T3680";"";"";"";"";
"1";"90814-0206";"90814-0206";"MOLEX_90814-0206";"J16";"CONN HEADER 06 POS 1.27MM SMD TIN";"";"";"";"90814-0206";"1757024";"34R6215";"CONN-6 POS";"Molex";"";"";
"2";"90814-0208";"90814-0208";"MOLEX_90814-0208";"J14, J15";"CONN HEADER 8POS 1.27MM SMD TIN";"";"";"";"90814-0208";"1757025";"34R6216";"CONN-8POS";"Molex";"";"";
"1";"ASE-12";"ASE";"ASE";"X3";"3.3Vdc CMOS SMD CRYSTAL CLOCK OSCILLATOR";"";"";"";"ASE-12.000MHZ-LC-T";"unknown";"40Y2118";"";"";"";"";
"1";"ASE_50";"ASE";"ASE";"X1";"3.3Vdc CMOS SMD CRYSTAL CLOCK OSCILLATOR";"";"";"";"ASE-50.000MHZ-LC-T";"unknown";"84R2105";"";"";"";"";
"1";"AT24C512C-SSHM-B";"AT24C512C-SSHM-B";"SOIC127P600X175-8N";"U3";"SERIAL EEPROM IC Memory Size:512Kbit,8-SOIC";"";"";"";"AT24C512C-SSHM-B";"1971995 ";"68T4128";"8SOIC";"ATMEL";"";"";
"2";"B3FS-1050";"B3FS-1050";"B3FS";"SW1, SW2";"Surface-mounting Switches Ideal for";"";"";"FARNELL";"B3FS-1050";"";"18J2451";"";"";"";"";
"9";"Blue";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1, LED2, LED3, LED4, LED5, LED7, LED8, LED9, LED10";"LED";"";"";"";"OVS-0603";"";"15R2205";"";"";"";"";
"1";"DP83848JSQ/NOPB";"DP83848JSQ/NOPB";"SQA40B";"U1";"";"Copyright C 2015 Accelerated Designs. All rights reserved";"dp83848jsqnopb";"";"DP83848JSQ/NOPB";"";"96W2841";"";"";"";"National Semiconductor";
"1";"EXMACHINA-LOGO-NAME";"EXMACHINA-LOGO-NAME";"EXM-LOGO-BASELINE";"T1";"";"";"";"";"";"";"unknown";"";"";"";"";
"1";"FC-135";"FC-135";"FC-135";"X2";"32.768kHz ±20ppm Crystal 12.5pF 70 kOhm -40°C ~ 85°C Surface Mount 2-SMD";"";"";"";"Q13FC13500004";"";"31M4970";"";"";"";"";
"4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"JP1, JP2, JP3, JP4";"Fiducial Alignment Points";"";"";"";"";"";"unknown";"";"";"";"";
"4";"G6K-2G-Y";"G6K-2G-Y";"G6K-2G-Y";"K1, K2, K3, K4";"Low Signal Relay";"";"";"OMRON COMPONENTS USA";"G6K-2G-YDC24 BY OMR";"4484794";"17C6944";"";"";"";"";
"1";"LPC1768FBD100";"LPC1768FBD100";"SOT407-1";"U4";"";"Copyright C 2015 Accelerated Designs. All rights reserved";"lpc1768fbd100";"";"LPC1768FBD100";"";"15R1840";"";"";"";"NXP";
"2";"LT3686HDDPBF";"LT3686HDDPBF";"DFN300X300X80-11N";"U12, U13";"37V/1.2A Step-DownRegulator in 3mm × 3mm DFN";"";"";"";"LT3686HDD#PBF";"2294943";"78R8986";"DFN-10";"Linear Technology";"";"";
"2";"MBRS140";"MBRS140";"DO-214AA";"D1, D2";"Redresseur Schottky, 40 V, 1 A, Une, DO-214AA, 2 Broche(s), 600 mV";"";"";"ON SEMICONDUCTOR";"MBRS140T3G";"";"83H7272";"";"";"";"";
"1";"MCP2561-E/SN";"MCP2561-E/SN";"SOIC127P600X175-8N";"U2";"High-Speed CAN Transceiver";"";"";"";"MCP2561-E/SN";"";"12X8698";"SOIC-8";"Microchip";"";"";
"1";"MMBT2222AL";"MMBT2222AL";"SOT-23";"T2";"General Purpose Transistors";"";"";"";"MMBT2222ALT3G";"";"10N9478";"";"";"";"";
"4";"MOUNT-PAD3,0";"MOUNT-PAD3,0";"P3,0";"MP1, MP2, MP3, MP4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"unknown";"";"";"";"";
"1";"MSTBA2";"MSTBA2";"MSTBA2";"J17";"PHOENIX";"";"";"FARNELL";"1757242";"3705171";"71C4161";"";"";"";"";
"1";"RB1-125BAG1A";"RB1-125BAG1A";"WIZNET_RB1-125BAG1A";"J2";"Accessory RJ-45 With Transformer Connector - UDE";"";"";"";"";"";"unknown";"";"";"";"";
"1";"Red";"LEDCHIPLED_0603";"CHIPLED_0603";"LED6";"LED";"";"";"";"OVS-0608";"";"15R2208";"";"";"";"";
"2";"SN74LVC2G17DBVR";"SN74LVC2G17DBVR";"SOT95P280X145-6N";"U6, U7";"DUAL SCHMITT-TRIGGER BUFFER";"";"";"TEXAS INSTRUMENTS";"SN74LVC2G17DBVR";"1470776";"76C4207";"SOT-23-6";"Texas Instruments";"";"";
"3";"SN74LVC3G17DCTR";"SN74LVC3G17DCTR";"SOP65P400X130-8N";"U8, U9, U10";"TRIPLE SCHMITT-TRIGGER BUFFER";"";"";"TEXAS INSTRUMENTS";"SN74LVC3G17DCTR";"1236391";"90H3713";"SSOP-8";"Texas Instruments";"";"";
"1";"TLV313";"TLV313";"SOT23-DBV";"U5";"";"";"";"";"TLV313IDBVT";"";"95Y0395";"";"";"";"";
"4";"TPB1,27";"TPB1,27";"B1,27";"TP1, TP3, TP4, TP6";"Test pad";"";"";"";"";"";"unknown";"";"";"";"";
"2";"TPB1,27";"TPB1,27";"B1,27";"TP2, TP5";"Test pad";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"TPL0401A";"TPL0401A";"SC-70-DCK";"U11";"";"";"";"";"ISL90727WIE627Z-T7A";"";"82Y6761";"";"";"";"";
"1";"USB3075-30-A";"USB3075-30-A";"USB_MICROB_SMT";"J19";"";"";"";"";"USB3075-30-A";"";"58T0863";"";"";"";"";
